datetime,open,close
1588621920000,160.3,160.345
1588621980000,160.35,160.27
1588622040000,160.255,160.19
1588622100000,160.19,160.19
1588622160000,160.185,160.22
1588622220000,160.215,160.235
1588622280000,160.23,160.24
1588622340000,160.26,160.34
1588622400000,160.34,160.33
1588622640000,160.15,160.15
1588622700000,160.15,160.15
1588622820000,160.15,160.15
1588622880000,160.14,160.15
1588622940000,160.15,160.15
1588623240000,160.14,160.15
1588623600000,160.19,160.19
1588623660000,160.34,160.34
1588624080000,160.33,160.33
1588624260000,160.28,160.27
1588624320000,160.28,160.28
1588624380000,160.28,160.28
1588624500000,160.26,160.26
1588625160000,160.1,160.11
1588625340000,160.05,160.05
1588625580000,160.03,160.0
1588626720000,160.19,160.19
1588627140000,160.01,160.01
1588627260000,160.01,160.01
1588627500000,160.19,160.19
1588627560000,160.34,160.34
1588628160000,160.01,160.01
1588628820000,160.02,160.02
1588628880000,160.02,160.02
1588629060000,160.19,160.19
1588629180000,160.34,160.34
1588629600000,160.01,159.98
1588629900000,160.1,160.1
1588631520000,160.29,160.29
1588631700000,160.15,160.15
1588634400000,160.26,160.26
1588635240000,160.27,160.27
1588635540000,160.27,160.27
1588635660000,160.27,160.27
